step=5000  ep_rew=0.0228  eps=0.970
step=10000  ep_rew=0.0187  eps=0.941
step=15000  ep_rew=0.0213  eps=0.911
step=20000  ep_rew=0.0330  eps=0.881
step=25000  ep_rew=0.0273  eps=0.852
step=30000  ep_rew=0.0314  eps=0.822
step=35000  ep_rew=0.0348  eps=0.792
step=40000  ep_rew=0.0335  eps=0.763
step=45000  ep_rew=0.0444  eps=0.733
step=50000  ep_rew=0.0400  eps=0.703
step=55000  ep_rew=0.0336  eps=0.673
step=60000  ep_rew=0.0341  eps=0.644
step=65000  ep_rew=0.0288  eps=0.614
step=70000  ep_rew=0.0556  eps=0.584
step=75000  ep_rew=0.0417  eps=0.555
step=80000  ep_rew=0.0420  eps=0.525
step=85000  ep_rew=0.0523  eps=0.495
step=90000  ep_rew=0.0491  eps=0.466
step=95000  ep_rew=0.0466  eps=0.436
step=100000  ep_rew=0.0586  eps=0.406
step=105000  ep_rew=0.0430  eps=0.377
step=110000  ep_rew=0.0534  eps=0.347
step=115000  ep_rew=0.0740  eps=0.317
step=120000  ep_rew=0.0890  eps=0.288
step=125000  ep_rew=0.0841  eps=0.258
step=130000  ep_rew=0.1098  eps=0.228
step=135000  ep_rew=0.1015  eps=0.198
step=140000  ep_rew=0.1003  eps=0.169
step=145000  ep_rew=0.1142  eps=0.139
step=150000  ep_rew=0.0912  eps=0.109
step=155000  ep_rew=0.1903  eps=0.080
step=160000  ep_rew=0.2084  eps=0.050
step=165000  ep_rew=0.2415  eps=0.050
step=170000  ep_rew=0.1741  eps=0.050
step=175000  ep_rew=0.1890  eps=0.050
step=180000  ep_rew=0.2404  eps=0.050
step=185000  ep_rew=0.2199  eps=0.050
step=190000  ep_rew=0.2327  eps=0.050
step=195000  ep_rew=0.2420  eps=0.050
step=200000  ep_rew=0.2428  eps=0.050
step=205000  ep_rew=0.2265  eps=0.050
step=210000  ep_rew=0.2942  eps=0.050
step=215000  ep_rew=0.3044  eps=0.050
step=220000  ep_rew=0.3012  eps=0.050
step=225000  ep_rew=0.3372  eps=0.050
step=230000  ep_rew=0.2783  eps=0.050
step=235000  ep_rew=0.3307  eps=0.050
step=240000  ep_rew=0.3464  eps=0.050
step=245000  ep_rew=0.2897  eps=0.050
step=250000  ep_rew=0.3813  eps=0.050
step=255000  ep_rew=0.3802  eps=0.050
step=260000  ep_rew=0.2964  eps=0.050
step=265000  ep_rew=0.3624  eps=0.050
step=270000  ep_rew=0.3988  eps=0.050
step=275000  ep_rew=0.3223  eps=0.050
step=280000  ep_rew=0.3636  eps=0.050
step=285000  ep_rew=0.2556  eps=0.050
step=290000  ep_rew=0.2357  eps=0.050
step=295000  ep_rew=0.3241  eps=0.050
step=300000  ep_rew=0.3182  eps=0.050
step=305000  ep_rew=0.2882  eps=0.050
step=310000  ep_rew=0.3381  eps=0.050
step=315000  ep_rew=0.2627  eps=0.050
step=320000  ep_rew=0.2615  eps=0.050
step=325000  ep_rew=0.3210  eps=0.050
step=330000  ep_rew=0.3622  eps=0.050
step=335000  ep_rew=0.3217  eps=0.050
step=340000  ep_rew=0.2561  eps=0.050
step=345000  ep_rew=0.2761  eps=0.050
step=350000  ep_rew=0.3318  eps=0.050
step=355000  ep_rew=0.3067  eps=0.050
step=360000  ep_rew=0.3648  eps=0.050
step=365000  ep_rew=0.3320  eps=0.050
step=370000  ep_rew=0.3228  eps=0.050
step=375000  ep_rew=0.2977  eps=0.050
step=380000  ep_rew=0.2820  eps=0.050
step=385000  ep_rew=0.2779  eps=0.050
step=390000  ep_rew=0.3853  eps=0.050
step=395000  ep_rew=0.3289  eps=0.050
step=400000  ep_rew=0.3864  eps=0.050
